nr #1;The nucleus Question;answer;70;min
1;... is the science of how three tiny particles come together to form everything.;Chemistry;;
2;Stuff is made from �.;atoms;;
3;A ... is a well-tested set of ideas that explains many disparte ideas.;theory;;
4;A theory is a �-... set of ideas that explains many disparte ideas.;well-tested;;
5;� mathematically proved the existance of atoms.;Einstein;;
6;Einstein probed the existance of atoms in �.;1905;;
7;Brownian motion is the � motion of particles.;random;;
8;� motion is the random motion of particles.;Brownian;;
9;Every ... is made up of three subatomic particles.;atom;;
10;Every atom is made up of ... subatomic particles.;three;;
11;Protons are � particles.;subatomic;;
12;Neutrons are � particles;subatomic;;
13;Electrons are � particles.;subatomic;;
14;... are heavy and positively charge subatomic particles.;Protons;;
15;Protons are heavy and ... charge subatomic particles.;positively;;
16;Neutrons are the size of protons but �.;neutral;;
17;� are the size of protons but neutral.;Neutrons;;
18;The ... nearly has no mass is negatively charged.;electron;;
19;The electron nearly has no ... is negatively charged.;mass;;
20;The ... has the same amount of opposite charge of the proton.;electron;;
21;The electron is � times less massive than the proton or neutron.;1800;;
22;Protons and neutrons are located in the �.;nucleus;;
23;Protons and neutrons are also called �.;nucleons;;
24;The particles within the nucleus are called �.;nucleons;;
25;Electrons are located � the nucleus.;around;;
26;The number of � in an atom determines what element it is.;Protons;;
27;The number of protons in an atom determin what � it is.;element;;
28;The number of protons is the � number of an element.;atomic;;
29;The atomic number of an element is the number of � in its nucleus.;Protons;;
30;The atomic number is located in the � left corner of the box in the periodic table.;top;;
31;Nuclei is the plural for �.;nucleus;;
32;Nuclei are thousands of time smaller than the �.;atom;;
33;The � force is one of the four fundamental forces of physics.;nuclear;;
34;The nuclear force is the � of the fundamental forces of physics.;strongest;;
35;Nuclei are held together by the � �.;nuclear force;;
36;The nuclear force holds together �.;nuclei;;
37;... can jump from atom to atom when it's convenient.;Electrons;;
38;... space out protons corectly within the nucleus.;Neutrons;;
39;The number of � does not change with the relative atomic mass of a given element.;protons;;
40;The number of � change with the relative atomic mass of a given element.;neutrons;;
41;The � � ... is the average of the sum of protons and neutrons of a given element on Earth.;relative atomic mass;;
42;Isotopes are atoms of an element differing in the number of �.;neutrons;;
43;� are atoms of an element differing in the number of neutrons.;isotopes;;
44;Isotopes have the same chemical �.;properties;;
45;"""�"" means ""same place""";isotope;;
46;Isotopes have different � �.;mass numbers;;
47;� have different mass numbers but the same atomic number.;Isotopes;;
48;The mass number is the total number of � in the nucleus.;nucleons;;
49;The � � is the total numer of nucleons in the nucleus.;mass number;;
50;The � ... is a simple addition of nucleons in a single atom, not an average of all such atoms on earth.;mass number;;
51;Please provide the mass number for the given isotope. (Found in the periodic table);107;;
52;Please provide the relative atomic mass of the given atom. (Found in the periodic table);47;;
53;Please provide the name of the given isotope.;silver-107;;
54;Please provide the name of the given atom.;silver;;
nr #2;Unit conversion Question;answer;60;min
1;IPK stands for the �.;International Prototype Kilogram;;
2;� stands for the International Prototype Kilogram.;IPK;;
3;The � is the exemplar for every kilogram in the world.;IPK;;
4;A ... is defined as being the same mass as the IPK.;kilogram;;
5;The Internation System of Units only includes � base units.;7;;
6;All units are ... from the 7 base units in the Internation System of units.;derived;;
7;What is the unit of speed.;m/s;;
8;What is the unit of acceleration.;m/s^2;;
9;What is the unit of force?;Newton=N=kg*m/s^2;;
10;What is the unit of work?;Joule=J=kg*m^2/s^2;;
11;What is the unit of power?;Watt=W=J/s=kg*m^2/s^3;;
12;What is the SI unit for length?;meter=m;;
13;What is the SI unit for mass?;kilogram=kg;;
14;What is the SI unit for time?;second=s;;
15;What is the SI unit for electric current?;Ampere=A;;
16;What is the SI unit for temperature?;Kelvin=K;;
17;Only ... standard base unit is derived from an actual value.;one;;
18;The ... is derived from the rotation of the earth.;second;;
19;The second is derived from the ... of the earth.;rotation;;
20;There are � types of numbers in experimental calculations.;two;;
21;Exact and � numbers are used in experimental calculations.;measured;;
22;� and measured numbers are used in experimental calculations.;exact;;
23;� numbers are like the number of seconds in a minute or the number of eggs in a dozen.;exact;;
24;� numbers are difined and are known to an infinite number of decimal places.;exact;;
25;� numbers are never known at the same level of precision as exact numbers.;measured;;
26;� numbers are like the speed of a car on a speedometer given to two decimal places.;measured;;
27;Measured numbers give information on the � measured and its precision.;number;;
28;Measured numbers give information on the number measured and its �.;precision;;
